dcpt-p-two-length-pattern.cc:
['TEST', 'IPC', 'SPEEDUP', 'ACC', 'COV', 'IDENT', 'ISSUED', 'MISSES']
'twolf', '0.41', '0.95', '0.29', '0.21', '152439', '137695', '171708'
'bzip2_source', '1.66', '1.00', '0.72', '0.42', '6370', '6182', '4870'
'swim', '0.72', '1.01', '0.44', '0.33', '364006', '283306', '108337'
'bzip2_graphic', '1.43', '1.03', '0.66', '0.31', '6870', '6749', '7872'
'apsi', '1.57', '1.04', '0.45', '0.27', '17807', '13774', '11117'
'art110', '0.13', '1.05', '0.94', '0.52', '3064359', '1440231', '1181697'
'art470', '0.13', '1.05', '0.94', '0.52', '3064359', '1440231', '1181697'
'galgel', '0.74', '1.09', '0.42', '0.44', '130346', '88934', '42275'
'applu', '0.48', '1.13', '0.94', '0.80', '654126', '529395', '118929'
'wupwise', '0.90', '1.22', '0.68', '0.65', '88365', '80034', '2607'
'ammp', '0.10', '1.62', '0.91', '0.81', '3293723', '3189779', '659790'

dcpt-p.cc:
['TEST', 'IPC', 'SPEEDUP', 'ACC', 'COV', 'IDENT', 'ISSUED', 'MISSES']
'twolf', '0.43', '0.99', '0.30', '0.08', '57028', '50105', '182514'
'bzip2_source', '1.66', '1.00', '0.71', '0.46', '7182', '6955', '4233'
'swim', '0.72', '1.01', '0.43', '0.37', '489818', '313473', '75168'
'bzip2_graphic', '1.42', '1.02', '0.65', '0.33', '7481', '7327', '7333'
'applu', '0.45', '1.04', '0.89', '0.15', '198306', '99411', '506456'
'apsi', '1.58', '1.05', '0.38', '0.21', '16001', '11894', '12320'
'art110', '0.13', '1.06', '0.91', '0.59', '4610577', '1773169', '1011424'
'art470', '0.13', '1.06', '0.91', '0.59', '4610577', '1773169', '1011424'
'galgel', '0.74', '1.10', '0.41', '0.52', '164996', '111247', '34566'
'wupwise', '0.91', '1.23', '0.67', '0.67', '86768', '84129', '78'
'ammp', '0.10', '1.67', '0.87', '0.83', '5342957', '3713825', '593749'

default.cc:
['TEST', 'IPC', 'SPEEDUP', 'ACC', 'COV', 'IDENT', 'ISSUED', 'MISSES']
